"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"1903",1999,"1610612745",1,22,22
"1904",1999,"1610612747",1,23,23
"1905",1999,"1610612762",1,24,24
"1906",1999,"1610612748",1,25,25
"1907",1999,"1610612754",1,26,26
"1908",1999,"1610612737",1,27,27
"1909",1999,"1610612762",1,28,28
"1910",1999,"1610612759",1,29,29
"1911",1999,"1610612747",2,1,30
"1913",1999,"1610612741",2,3,32
"1914",1999,"1610612743",2,4,33
"1915",1999,"1610612751",2,5,34
"1916",1999,"1610612764",2,6,35
"1917",1999,"1610612742",2,7,36
"1918",1999,"1610612763",2,8,37
"1919",1999,"1610612753",2,9,38
"1920",1999,"1610612739",2,10,39
"1921",1999,"1610612742",2,11,40
"1922",1999,"1610612743",2,12,41
"1924",1999,"1610612766",2,14,43
"1926",1999,"1610612758",2,16,45
"1928",1999,"1610612755",2,18,47
"1930",1999,"1610612741",2,20,49
"1934",1999,"1610612748",2,24,53
"1937",1999,"1610612744",2,27,56
"1938",1999,"1610612759",2,28,57
"1972",1989,"1610612739",1,25,25
"1984",1987,"1610612741",2,5,28
"2030",2000,"1610612751",1,1,1
"2031",2000,"1610612763",1,2,2
"2032",2000,"1610612746",1,3,3
"2033",2000,"1610612741",1,4,4
"2034",2000,"1610612753",1,5,5
"2035",2000,"1610612737",1,6,6
"2036",2000,"1610612741",1,7,7
"2037",2000,"1610612739",1,8,8
"2038",2000,"1610612745",1,9,9
"2039",2000,"1610612753",1,10,10
"2040",2000,"1610612738",1,11,11
"2041",2000,"1610612742",1,12,12
"2042",2000,"1610612753",1,13,13
"2043",2000,"1610612765",1,14,14
"2044",2000,"1610612749",1,15,15
"2045",2000,"1610612758",1,16,16
"2046",2000,"1610612760",1,17,17
"2047",2000,"1610612746",1,18,18
"2048",2000,"1610612766",1,19,19
"2049",2000,"1610612755",1,20,20
"2050",2000,"1610612761",1,21,21
"2051",2000,"1610612752",1,22,22
"2052",2000,"1610612762",1,23,23
"2053",2000,"1610612741",1,24,24
"2054",2000,"1610612756",1,25,25
"2055",2000,"1610612743",1,26,26
"2056",2000,"1610612754",1,27,27
"2057",2000,"1610612757",1,28,28
"2058",2000,"1610612747",1,29,29
"2059",2000,"1610612745",2,9,38
"2060",2000,"1610612746",2,1,30
"2061",2000,"1610612742",2,2,31
"2062",2000,"1610612741",2,3,32
"2063",2000,"1610612741",2,4,33
"2064",2000,"1610612741",2,5,34
"2065",2000,"1610612764",2,6,35
"2066",2000,"1610612751",2,7,36
