"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"1628385",2017,"87.25","109.5","10.75","9.5","5","27","3.34"
"1628386",2017,"89.25","109.5","10.5","9.5","4","31.5","3.21"
"1628387",2017,"90.25","110.5","10","9.5","11","29.5","3.44"
"1628388",2017,"83","107","9.5","8.5","6","29","3.27"
"1628389",2017,"86.75","108","8.75","9.5","12","33.5","3.24"
"1628390",2017,"80.75","103","10","8.5",NULL,"28.5","3.32"
"1628391",2017,"87","109.5","10.25","9.25",NULL,NULL,NULL
"1628393",2017,"77.5","95","7.75","8","1","27.5","3.21"
"1628395",2017,"83.75","104.5","9.5","9.25","16","31.5","3.21"
"1628396",2017,"89","112.5","9.5","9.5","5","24.5","3.44"
"1628397",2017,"85.5","109","9","8.75","3","28.5","3.35"
"1628398",2017,"84.25","107.5","9.5","8.5","12","27","3.25"
"1628399",2017,"84","107.5","8.75","8.75","1","29.5","3.46"
"1628400",2017,"81.75","102","9.5","8.75","19","35","3.16"
"1628401",2017,"79.5","101.5","8.5","8.25","10","31","3.08"
"1628402",2017,"79.5","98","9","8.25","9","34.5","3.14"
"1628403",2017,"87","108","10.25","9.5",NULL,NULL,NULL
"1628404",2017,"80.25","101","9.5","8.5","9","27.5","3.18"
"1628405",2017,"88","108","9.5","9",NULL,NULL,NULL
"1628407",2017,"82","103.5","10","8.75","8","30","3.22"
"1628408",2017,"83","101","9.5","8.5","9","34","3.15"
"1628409",2017,"82.75","105","10","8.75",NULL,NULL,NULL
"1628410",2017,"81","102.5","9","8.25",NULL,NULL,NULL
"1628411",2017,"85","105.5","9.5","8.75","5","31.5","3.36"
"1628412",2017,"75.25","94","9.25","8","15","34","3.18"
"1628414",2017,"82","103","8.75","8.75","15","27","3.36"
"1628415",2017,"78","100.5","9.25","8.25","16","31","3.21"
"1628416",2017,"77.25","99.5","9.25","8.5","8","30.5","3.16"
"1628417",2017,"82","104.5","10.25","8.75","16","31","3.17"
"1628418",2017,"90","112.5","10.25","9.5","7","25.5","3.37"
"1628419",2017,"85.25","106.5","10.25","9.5","5","28","3.16"
"1628420",2017,"76","96.5","8.75","8.25","8","28","3.19"
"1628421",2017,"84.75","106","10.25","9.25","10","35.5","3.23"
"1628422",2017,"81","100","9.25","8.5","13","31.5","3.13"
"1628424",2017,"78","99","9.5","8.5","3","30.5","3.18"
"1628430",2017,"79.25","99","9.25","8.75","10","27.5","3.19"
"1628432",2017,"84","102","9.5","9.25","12","28.5","3.34"
"1628439",2017,"84.5","105","9.75","8.75","11","31.5","3.36"
"1628443",2017,"81.25","99.5","8.75","8.5","7","33","3.15"
"1628449",2017,"88","110.5","10.5","9.25",NULL,NULL,NULL
"1628476",2017,"74.5","95","8.5","8","9","26","3.29"
"1628502",2017,"87.25","104.5","10","8.75","16","29","3.27"
"1628503",2017,"82","105","9.75","9.25","5","23.5","3.44"
"1628515",2017,"81","99.5","9.25","9","11","28","3.38"
"1628959",2017,"80.75","99","10","8.75","7","31.5","3.3"
"1628959",2018,"80.75","99","10","8.5","10","32.5","3.15"
"1628960",2018,"79.25","97","10","8.25",NULL,"32.5","3.15"
"1628961",2018,"86.25","110","9.5","9.25","0","29.5","3.21"
"1628962",2018,"91","112.5","10","9.5","11","31","3.12"
"1628962",2020,"91.25","109","10","9.25",NULL,"37","3.23"
"1628964",2018,"94","115.5","10.25","9.75",NULL,NULL,NULL
"1628966",2018,"87.25","106.5","8.5","9","11","30.5","3.17"
"1628968",2018,"82.25","103.5","10","9","0","30.5","3.28"
"1628968",2019,"82","103","9.75","8.5","1","32","3.26"
"1628970",2018,"81.5","103.5","9.75","9",NULL,NULL,NULL
"1628971",2018,"81","98.5","8.5","8.5","17","32.5","3.2"
"1628972",2018,"82.25","105","9.75","9","5","26","3.33"
"1628973",2018,"76","96","9.25","8.25","7","29","3.15"
"1628975",2018,"76.25","95","8.5","9.25","14","29","3.18"
"1628976",2018,"88.5","109","9","8.5",NULL,NULL,NULL
"1628977",2017,"83.25","101.5","9.5","8.5","0","34.5","3.11"
